index	num_heavy_atoms	num_bonds	depiction	look	time	size
28	32	36	WIREFRAME	GLOSSY	0.6480216979980469	9.125
28	32	36	TUBE	CARTOON	736.4749908447266	32.205
29	27	29	SPACEFILLING	CARTOON	263.0341053009033	26.106
29	27	29	BALL_AND_STICK	CARTOON	358.0160140991211	65.321
29	27	29	WIREFRAME	CARTOON	0.55694580078125	7.985
28	32	36	TUBE	GLOSSY	730.2770614624023	43.722
29	27	29	SPACEFILLING	GLOSSY	267.4596309661865	32.777
29	27	29	TUBE	CARTOON	595.5901145935059	29.584
29	27	29	WIREFRAME	GLOSSY	0.5650520324707031	7.985
29	27	29	BALL_AND_STICK	GLOSSY	357.7558994293213	83.094
30	36	39	SPACEFILLING	CARTOON	370.87273597717285	31.015
29	27	29	TUBE	GLOSSY	601.1300086975098	39.895
30	36	39	WIREFRAME	CARTOON	0.7176399230957031	10.077
30	36	39	BALL_AND_STICK	CARTOON	476.8507480621338	77.607
30	36	39	SPACEFILLING	GLOSSY	371.02603912353516	39.736
30	36	39	BALL_AND_STICK	GLOSSY	476.14502906799316	100.979
30	36	39	WIREFRAME	GLOSSY	0.7040500640869141	10.077
30	36	39	TUBE	CARTOON	803.217887878418	35.196
31	22	24	SPACEFILLING	CARTOON	227.28919982910156	23.002
31	22	24	BALL_AND_STICK	CARTOON	292.360782623291	53.381
31	22	24	WIREFRAME	CARTOON	0.4551410675048828	6.616
31	22	24	SPACEFILLING	GLOSSY	226.15599632263184	28.437
30	36	39	TUBE	GLOSSY	817.1582221984863	47.812
31	22	24	TUBE	CARTOON	497.1630573272705	25.795
31	22	24	WIREFRAME	GLOSSY	0.4458427429199219	6.616
31	22	24	BALL_AND_STICK	GLOSSY	291.456937789917	67.369
32	38	41	SPACEFILLING	CARTOON	380.1558017730713	36.991
31	22	24	TUBE	GLOSSY	503.78918647766113	34.771
32	38	41	WIREFRAME	CARTOON	0.7081031799316406	10.236
32	38	41	BALL_AND_STICK	CARTOON	488.03091049194336	84.254
32	38	41	SPACEFILLING	GLOSSY	383.32271575927734	46.318
32	38	41	TUBE	CARTOON	784.733772277832	39.516
32	38	41	WIREFRAME	GLOSSY	0.7078647613525391	10.236
32	38	41	BALL_AND_STICK	GLOSSY	493.4217929840088	107.792
33	20	21	SPACEFILLING	CARTOON	202.09622383117676	20.047
33	20	21	BALL_AND_STICK	CARTOON	240.30518531799316	41.601
33	20	21	WIREFRAME	CARTOON	0.3478527069091797	4.803
32	38	41	TUBE	GLOSSY	788.1851196289062	53.07
33	20	21	SPACEFILLING	GLOSSY	201.65205001831055	24.946
33	20	21	TUBE	CARTOON	355.820894241333	17.703
33	20	21	WIREFRAME	GLOSSY	0.34308433532714844	4.803
33	20	21	BALL_AND_STICK	GLOSSY	245.47886848449707	52.822
33	20	21	TUBE	GLOSSY	355.9458255767822	24.37
34	39	41	SPACEFILLING	CARTOON	397.9799747467041	37.792
34	39	41	WIREFRAME	CARTOON	0.7250308990478516	10.205
34	39	41	BALL_AND_STICK	CARTOON	499.68695640563965	84.751
34	39	41	SPACEFILLING	GLOSSY	397.30286598205566	47.341
34	39	41	TUBE	CARTOON	778.0070304870605	39.008
34	39	41	WIREFRAME	GLOSSY	0.7140636444091797	10.205
34	39	41	BALL_AND_STICK	GLOSSY	500.2248287200928	108.26
35	26	28	SPACEFILLING	CARTOON	259.9217891693115	22.854
35	26	28	BALL_AND_STICK	CARTOON	368.4992790222168	61.252
35	26	28	WIREFRAME	CARTOON	0.6060600280761719	8.738
34	39	41	TUBE	GLOSSY	775.8560180664062	51.606
35	26	28	SPACEFILLING	GLOSSY	259.537935256958	29.149
35	26	28	BALL_AND_STICK	GLOSSY	369.7211742401123	79.908
35	26	28	WIREFRAME	GLOSSY	0.598907470703125	8.738
35	26	28	TUBE	CARTOON	676.102876663208	30.574
36	22	24	SPACEFILLING	CARTOON	211.34519577026367	18.892
36	22	24	BALL_AND_STICK	CARTOON	281.6729545593262	49.067
36	22	24	WIREFRAME	CARTOON	0.4458427429199219	6.531
35	26	28	TUBE	GLOSSY	681.3349723815918	41.296
36	22	24	SPACEFILLING	GLOSSY	210.89601516723633	24.271
36	22	24	TUBE	CARTOON	500.25129318237305	23.137
36	22	24	WIREFRAME	GLOSSY	0.4527568817138672	6.531
36	22	24	BALL_AND_STICK	GLOSSY	282.940149307251	62.612
37	11	11	SPACEFILLING	CARTOON	104.00009155273438	10.597
37	11	11	BALL_AND_STICK	CARTOON	138.87405395507812	24.145
37	11	11	WIREFRAME	CARTOON	0.19407272338867188	2.472
37	11	11	TUBE	CARTOON	184.44180488586426	9.153
36	22	24	TUBE	GLOSSY	498.8689422607422	31.047
37	11	11	SPACEFILLING	GLOSSY	106.83989524841309	13.282
37	11	11	WIREFRAME	GLOSSY	0.19812583923339844	2.472
37	11	11	BALL_AND_STICK	GLOSSY	138.73887062072754	30.829
37	11	11	TUBE	GLOSSY	184.20004844665527	12.015
38	36	41	SPACEFILLING	CARTOON	374.54795837402344	32.703
38	36	41	WIREFRAME	CARTOON	0.7789134979248047	11.494
38	36	41	BALL_AND_STICK	CARTOON	510.9272003173828	85.21
38	36	41	SPACEFILLING	GLOSSY	382.48324394226074	41.476
38	36	41	TUBE	CARTOON	913.1112098693848	42.293
38	36	41	WIREFRAME	GLOSSY	0.7851123809814453	11.494
38	36	41	BALL_AND_STICK	GLOSSY	507.0209503173828	110.065
39	29	33	SPACEFILLING	CARTOON	303.5998344421387	26.425
39	29	33	BALL_AND_STICK	CARTOON	390.43307304382324	63.454
39	29	33	WIREFRAME	CARTOON	0.6101131439208984	8.712
38	36	41	TUBE	GLOSSY	916.3451194763184	56.531
39	29	33	SPACEFILLING	GLOSSY	305.2370548248291	33.434
39	29	33	BALL_AND_STICK	GLOSSY	392.7900791168213	81.873
39	29	33	WIREFRAME	GLOSSY	0.6229877471923828	8.712
39	29	33	TUBE	CARTOON	690.5181407928467	32.687
40	27	29	SPACEFILLING	CARTOON	265.7608985900879	23.513
40	27	29	BALL_AND_STICK	CARTOON	372.1451759338379	61.287
40	27	29	WIREFRAME	CARTOON	0.5910396575927734	8.551
39	29	33	TUBE	GLOSSY	690.4811859130859	43.31
40	27	29	SPACEFILLING	GLOSSY	274.33204650878906	30.052
40	27	29	BALL_AND_STICK	GLOSSY	379.3678283691406	79.654
40	27	29	WIREFRAME	GLOSSY	0.6041526794433594	8.551
40	27	29	TUBE	CARTOON	676.793098449707	29.734
41	25	27	SPACEFILLING	CARTOON	245.4380989074707	21.494
41	25	27	BALL_AND_STICK	CARTOON	351.2399196624756	56.887
41	25	27	WIREFRAME	CARTOON	0.5612373352050781	7.962
40	27	29	TUBE	GLOSSY	663.7141704559326	40.411
